,token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
28760,35231,NIFTY30JUN2630000PE,NIFTY,30JUN2026,3000000.000000,75,OPTIDX,NFO,5.000000
28761,35346,NIFTY28DEC2730000CE,NIFTY,28DEC2027,3000000.000000,75,OPTIDX,NFO,5.000000
28796,37806,NIFTY29DEC2623000CE,NIFTY,29DEC2026,2300000.000000,75,OPTIDX,NFO,5.000000
28799,38159,NIFTY29DEC2629000PE,NIFTY,29DEC2026,2900000.000000,75,OPTIDX,NFO,5.000000
28802,40327,NIFTY06JAN2624000CE,NIFTY,06JAN2026,2400000.000000,65,OPTIDX,NFO,5.000000
28803,40351,NIFTY06JAN2624250CE,NIFTY,06JAN2026,2425000.000000,65,OPTIDX,NFO,5.000000
28804,40355,NIFTY06JAN2624350CE,NIFTY,06JAN2026,2435000.000000,65,OPTIDX,NFO,5.000000
28805,40371,NIFTY06JAN2624600CE,NIFTY,06JAN2026,2460000.000000,65,OPTIDX,NFO,5.000000
28806,40373,NIFTY06JAN2624650CE,NIFTY,06JAN2026,2465000.000000,65,OPTIDX,NFO,5.000000
28807,40374,NIFTY06JAN2624650PE,NIFTY,06JAN2026,2465000.000000,65,OPTIDX,NFO,5.000000
28808,40390,NIFTY06JAN2624850PE,NIFTY,06JAN2026,2485000.000000,65,OPTIDX,NFO,5.000000
28809,40395,NIFTY06JAN2625000CE,NIFTY,06JAN2026,2500000.000000,65,OPTIDX,NFO,5.000000
28810,40400,NIFTY06JAN2625100PE,NIFTY,06JAN2026,2510000.000000,65,OPTIDX,NFO,5.000000
28811,40418,NIFTY06JAN2625250CE,NIFTY,06JAN2026,2525000.000000,65,OPTIDX,NFO,5.000000
28812,40443,NIFTY06JAN2625500CE,NIFTY,06JAN2026,2550000.000000,65,OPTIDX,NFO,5.000000
28813,40447,NIFTY06JAN2625600CE,NIFTY,06JAN2026,2560000.000000,65,OPTIDX,NFO,5.000000
28814,40471,NIFTY06JAN2626100CE,NIFTY,06JAN2026,2610000.000000,65,OPTIDX,NFO,5.000000
28815,40476,NIFTY06JAN2626150PE,NIFTY,06JAN2026,2615000.000000,65,OPTIDX,NFO,5.000000
28816,40478,NIFTY06JAN2626200PE,NIFTY,06JAN2026,2620000.000000,65,OPTIDX,NFO,5.000000
28817,40480,NIFTY06JAN2626250PE,NIFTY,06JAN2026,2625000.000000,65,OPTIDX,NFO,5.000000
28818,40497,NIFTY06JAN2626550CE,NIFTY,06JAN2026,2655000.000000,65,OPTIDX,NFO,5.000000
28819,40563,NIFTY06JAN2627500CE,NIFTY,06JAN2026,2750000.000000,65,OPTIDX,NFO,5.000000
28820,40515,NIFTY06JAN2626750PE,NIFTY,06JAN2026,2675000.000000,65,OPTIDX,NFO,5.000000
28821,40544,NIFTY06JAN2627100PE,NIFTY,06JAN2026,2710000.000000,65,OPTIDX,NFO,5.000000
28822,40559,NIFTY06JAN2627400CE,NIFTY,06JAN2026,2740000.000000,65,OPTIDX,NFO,5.000000
28823,40581,NIFTY06JAN2627550PE,NIFTY,06JAN2026,2755000.000000,65,OPTIDX,NFO,5.000000
28825,40608,NIFTY06JAN2627950PE,NIFTY,06JAN2026,2795000.000000,65,OPTIDX,NFO,5.000000
28830,42144,NIFTY28DEC2731000CE,NIFTY,28DEC2027,3100000.000000,75,OPTIDX,NFO,5.000000
28854,46056,NIFTY13JAN2624000PE,NIFTY,13JAN2026,2400000.000000,65,OPTIDX,NFO,5.000000
28855,46063,NIFTY13JAN2624200CE,NIFTY,13JAN2026,2420000.000000,65,OPTIDX,NFO,5.000000
28856,46069,NIFTY13JAN2624300PE,NIFTY,13JAN2026,2430000.000000,65,OPTIDX,NFO,5.000000
28857,46070,NIFTY13JAN2624350CE,NIFTY,13JAN2026,2435000.000000,65,OPTIDX,NFO,5.000000
28858,46095,NIFTY13JAN2624650CE,NIFTY,13JAN2026,2465000.000000,65,OPTIDX,NFO,5.000000
28859,46126,NIFTY13JAN2624950PE,NIFTY,13JAN2026,2495000.000000,65,OPTIDX,NFO,5.000000
28860,46192,NIFTY13JAN2626150PE,NIFTY,13JAN2026,2615000.000000,65,OPTIDX,NFO,5.000000
28861,46202,NIFTY13JAN2626350PE,NIFTY,13JAN2026,2635000.000000,65,OPTIDX,NFO,5.000000
28862,46203,NIFTY13JAN2626400CE,NIFTY,13JAN2026,2640000.000000,65,OPTIDX,NFO,5.000000
28863,46217,NIFTY13JAN2626750CE,NIFTY,13JAN2026,2675000.000000,65,OPTIDX,NFO,5.000000
28864,46233,NIFTY13JAN2627100CE,NIFTY,13JAN2026,2710000.000000,65,OPTIDX,NFO,5.000000
28865,46252,NIFTY13JAN2627500PE,NIFTY,13JAN2026,2750000.000000,65,OPTIDX,NFO,5.000000
28866,46254,NIFTY13JAN2627550PE,NIFTY,13JAN2026,2755000.000000,65,OPTIDX,NFO,5.000000
28867,46262,NIFTY13JAN2627750PE,NIFTY,13JAN2026,2775000.000000,65,OPTIDX,NFO,5.000000
28868,46265,NIFTY13JAN2627800CE,NIFTY,13JAN2026,2780000.000000,65,OPTIDX,NFO,5.000000
28880,48116,NIFTY16DEC2524000CE,NIFTY,16DEC2025,2400000.000000,75,OPTIDX,NFO,5.000000
28881,48134,NIFTY16DEC2524450CE,NIFTY,16DEC2025,2445000.000000,75,OPTIDX,NFO,5.000000
28882,48143,NIFTY16DEC2524650CE,NIFTY,16DEC2025,2465000.000000,75,OPTIDX,NFO,5.000000
28883,48156,NIFTY16DEC2524900CE,NIFTY,16DEC2025,2490000.000000,75,OPTIDX,NFO,5.000000
28884,48159,NIFTY16DEC2524950PE,NIFTY,16DEC2025,2495000.000000,75,OPTIDX,NFO,5.000000
28885,48170,NIFTY16DEC2525250CE,NIFTY,16DEC2025,2525000.000000,75,OPTIDX,NFO,5.000000
28886,48212,NIFTY16DEC2525800CE,NIFTY,16DEC2025,2580000.000000,75,OPTIDX,NFO,5.000000
28887,48221,NIFTY16DEC2525900PE,NIFTY,16DEC2025,2590000.000000,75,OPTIDX,NFO,5.000000
28888,48222,NIFTY16DEC2525950CE,NIFTY,16DEC2025,2595000.000000,75,OPTIDX,NFO,5.000000
28889,48223,NIFTY16DEC2525950PE,NIFTY,16DEC2025,2595000.000000,75,OPTIDX,NFO,5.000000
28890,48230,NIFTY16DEC2526150CE,NIFTY,16DEC2025,2615000.000000,75,OPTIDX,NFO,5.000000
28892,48313,NIFTY16DEC2527250PE,NIFTY,16DEC2025,2725000.000000,75,OPTIDX,NFO,5.000000
28893,48329,NIFTY16DEC2527600CE,NIFTY,16DEC2025,2760000.000000,75,OPTIDX,NFO,5.000000
28894,48339,NIFTY16DEC2527750PE,NIFTY,16DEC2025,2775000.000000,75,OPTIDX,NFO,5.000000
28897,48345,NIFTY16DEC2527850CE,NIFTY,16DEC2025,2785000.000000,75,OPTIDX,NFO,5.000000
28942,50462,NIFTY30JUN2616000PE,NIFTY,30JUN2026,1600000.000000,75,OPTIDX,NFO,5.000000
29335,35221,NIFTY30DEC2530000CE,NIFTY,30DEC2025,3000000.000000,75,OPTIDX,NFO,5.000000
29366,37796,NIFTY30DEC2523000PE,NIFTY,30DEC2025,2300000.000000,75,OPTIDX,NFO,5.000000
29367,37799,NIFTY30JUN2623000CE,NIFTY,30JUN2026,2300000.000000,75,OPTIDX,NFO,5.000000
29368,37802,NIFTY30JUN2613000PE,NIFTY,30JUN2026,1300000.000000,75,OPTIDX,NFO,5.000000
29370,38378,NIFTY30JUN2620000CE,NIFTY,30JUN2026,2000000.000000,75,OPTIDX,NFO,5.000000
29377,40359,NIFTY06JAN2624400CE,NIFTY,06JAN2026,2440000.000000,65,OPTIDX,NFO,5.000000
29378,40362,NIFTY06JAN2624450PE,NIFTY,06JAN2026,2445000.000000,65,OPTIDX,NFO,5.000000
29379,40396,NIFTY06JAN2625000PE,NIFTY,06JAN2026,2500000.000000,65,OPTIDX,NFO,5.000000
29380,40408,NIFTY06JAN2625150CE,NIFTY,06JAN2026,2515000.000000,65,OPTIDX,NFO,5.000000
